YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1901,51.8,19.6,11.9,1.1,65.6,66.3,245.9,319.4,155.1,8.3,7.3,0.1
1902,4.6,0.7,24.3,17.3,66.3,118.2,361,225.5,358.7,28.5,1.1,0
1903,5.3,4.7,2,4.7,28.2,192.9,115,342.6,173.9,147,0.1,0
1904,6.3,1.7,3.5,5.3,118.7,191.6,394.4,351.3,84.4,98.1,10.6,3.8
1905,16,30.1,32.6,21.4,77.5,50.5,409.1,495.3,353.9,11.6,0,0.6
1906,14.4,56.9,8.6,0.9,44.7,191.3,366.2,430.1,118.7,32.9,0.4,0
1907,1.3,55.2,39.4,27,32.9,232.2,282.4,242.2,206.9,4.8,0,2.1
1908,14.7,38.6,6.1,2.2,36.7,94,202.3,167.3,149.9,25.4,0,0.3
1909,7,6.3,0,72.8,25.8,446,256.2,352.4,175.4,43.1,0,5.6
1910,2.4,4.8,6.6,5.7,51.5,279.5,365.1,328.8,258.5,73.8,21.7,0
1950,9.8,11.8,22.1,2.2,43.3,346.5,257,313.3,113.4,3,0.1,2.1
1951,7.3,1.5,5.8,8.2,22.8,144.5,307.8,204.5,114.3,28.7,4.7,0.1
1952,1.1,10.3,20.1,24.6,57,272.5,212.5,291.9,297.7,15.4,3.4,0.4
1953,29.7,4.2,8.7,16.7,37.4,224.7,431.8,263.3,342.2,18.4,0.9,0.8
1954,12.5,8.4,0.8,0.6,40.9,166.6,366.1,308.6,129.5,15.1,0.2,1.3
1955,20,6.7,2.3,11.9,28.2,172.5,505.7,268.7,192.2,35.7,0.3,0.1
1956,19.3,4.7,9.6,5.3,75.4,319.4,200.6,286.3,359.8,168.8,36,8.1
1957,75.2,2.8,11.6,0.5,1.3,115.6,334.5,295.8,115.2,11.6,0,2.7
1958,16,2.7,4.7,26.4,16.1,120.7,222.8,451.1,224.2,81.5,0.7,0.6
1959,81.2,1.5,9.4,18.6,35.7,132.3,245.8,264.2,157.1,233.8,0,0.1
1960,1.4,0.1,42.7,5.2,49.9,117.6,357.4,285.5,348.1,37.9,2,0
1990,0.3,30.2,13.8,14,83.3,156.6,485.5,204.4,201.2,49.7,0,0.2
1991,14.5,6.3,7.9,8.9,31.2,176.2,179.7,324.2,270.5,7.2,0,19.2
1992,2.6,3.1,0.1,2.6,61.1,83.9,284.8,219.2,85.9,52.4,1.4,0.4
1993,9.4,4,24.5,24.5,51.1,154.8,209.1,357.3,320,34.3,19.3,0.1
1994,28.3,29.1,1,7,32.7,130.9,217.7,257.6,226.5,32.9,4.4,1.2
1995,6.8,11.6,2,0.1,6.7,162.9,227.5,335.7,279.1,11.4,44.4,23.8
2007,0.2,34.2,25.4,20.3,94.4,170.4,549.4,340.6,309,39.6,9.1,7.5
2008,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0
2009,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8
2010,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5,2.1
2011,4.2,7.7,9.2,23.9,74.5,211,241.1,278.7,234.1,10,2,0.9
2012,18.1,2.7,7.3,20.4,18.8,96.2,354,240.4,233.8,34.3,6.4,0
2013,5.1,22.6,0.6,32.3,89.5,183.3,182,213.6,143.3,197.1,0.4,0
2014,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2
2015,12.8,1.8,27.2,38.7,39.5,122.1,231.5,287,101.7,10.4,0,0
