Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.17,-0.24,-0.09,-0.16,-0.1,-0.21,-0.18,-0.09,-0.14,-0.23,-0.21,-0.17
1881,-0.19,-0.13,0.04,0.06,0.07,-0.18,0.01,-0.03,-0.15,-0.21,-0.18,-0.06
1882,0.17,0.15,0.05,-0.16,-0.14,-0.22,-0.15,-0.06,-0.14,-0.24,-0.16,-0.35
1883,-0.28,-0.36,-0.12,-0.18,-0.18,-0.07,-0.07,-0.13,-0.21,-0.11,-0.24,-0.11
1884,-0.13,-0.08,-0.36,-0.4,-0.34,-0.34,-0.33,-0.27,-0.27,-0.25,-0.33,-0.3
1885,-0.58,-0.33,-0.26,-0.41,-0.45,-0.43,-0.33,-0.3,-0.28,-0.23,-0.23,-0.09
1886,-0.43,-0.5,-0.43,-0.28,-0.24,-0.34,-0.17,-0.3,-0.24,-0.27,-0.27,-0.24
1887,-0.71,-0.56,-0.35,-0.34,-0.3,-0.24,-0.25,-0.34,-0.25,-0.35,-0.25,-0.33
1888,-0.33,-0.35,-0.4,-0.2,-0.22,-0.17,-0.1,-0.15,-0.12,0.02,0.04,-0.04
1889,-0.08,0.17,0.06,0.1,-0.01,-0.1,-0.07,-0.2,-0.24,-0.26,-0.34,-0.29
1890,-0.42,-0.46,-0.4,-0.3,-0.4,-0.25,-0.28,-0.39,-0.37,-0.25,-0.44,-0.31
1900,-0.36,-0.05,0.01,-0.09,-0.09,-0.1,-0.13,-0.09,-0.06,0.09,-0.07,-0.07
1901,-0.22,-0.11,0.06,-0.02,-0.16,-0.13,-0.15,-0.21,-0.22,-0.3,-0.18,-0.28
1902,-0.17,-0.07,-0.28,-0.29,-0.32,-0.3,-0.28,-0.3,-0.3,-0.29,-0.36,-0.42
1903,-0.23,-0.06,-0.23,-0.41,-0.4,-0.42,-0.36,-0.45,-0.5,-0.48,-0.43,-0.51
